"","Tree_ID","PLOTID","DBH24","SP","Status","H24","Wood_Density","a","b","c","Carbon_Above","Carbon_Below","Carbon_Total"
"147","P81.B147.0",81,8.9,"Til_spe","Alive",3.299999952,0.422,1.94295,1.29229,-4.20064,0.972261796230791,0.291678538869237,1.26394033510003
"148","P81.B148.0",81,45.8,"Car_bet","Alive",25.39999962,0.706,0.00021491,2.258957614,0.001411006,495.8291934511,148.74875803533,644.57795148643
"149","P81.B149.0",81,7.2,"Ace_pse","Alive",8.399999619,0.51,1.89756,0.97716,-2.94253,4.28303942489568,1.2849118274687,5.56795125236439
"150","P81.B150.0",81,48.4,"Que_rob","Alive",28.20000076,0.56,2.00333,0.85925,-2.86353,628.200708543963,188.460212563189,816.660921107152
"151","P81.B151.0",81,7.9,"Til_spe","Alive",7.300000191,0.422,1.94295,1.29229,-4.20064,2.15180844218327,0.64554253265498,2.79735097483825
"152","P81.B152.0",81,48.2,"Que_rob","Alive",31.60000038,0.56,2.00333,0.85925,-2.86353,687.02946063579,206.108838190737,893.138298826527
"153","P81.B153.0",81,33.9,"Que_rob","Alive",28.89999962,0.56,2.00333,0.85925,-2.86353,314.370680420699,94.3112041262097,408.681884546909
"154","P81.B154.0",81,9.4,"Til_spe","Dead",11,0.422,1.94295,1.29229,-4.20064,5.1240770635139,1.53722311905417,6.66130018256807
"155","P81.B155.0",81,12.2,"Til_spe","Alive",10.39999962,0.422,1.94295,1.29229,-4.20064,7.90934214819466,2.3728026444584,10.2821447926531
"156","P81.B156.0",81,9.7,"Ace_pse","Alive",10.39999962,0.51,1.89756,0.97716,-2.94253,9.2897996240194,2.78693988720582,12.0767395112252
"157","P81.B157.0",81,16.6,"Ulm_spe","Dead",14,0.508,1.94295,1.29229,-4.20064,25.4322981704039,7.62968945112116,33.061987621525
"158","P81.B158.0",81,11,"Ulm_spe","Dead",10.5,0.508,1.94295,1.29229,-4.20064,7.88303463485583,2.36491039045675,10.2479450253126
"159","P81.B159.0",81,7.2,"Ulm_spe","Alive",6.900000095,0.508,1.94295,1.29229,-4.20064,2.01111669333047,0.60333500799914,2.61445170132961
"160","P81.B160.0",81,31.5,"Que_rob","Alive",25.89999962,0.56,2.00333,0.85925,-2.86353,246.978361842313,74.0935085526938,321.071870395006
"161","P81.B162.0",81,9,"Til_spe","Alive",7.699999809,0.422,1.94295,1.29229,-4.20064,2.96991558555243,0.890974675665729,3.86089026121816
"162","P81.B163.0",81,8.1,"Car_bet","Alive",9.600000381,0.706,0.00021491,2.258957614,0.001411006,55.032559707389,16.5097679122167,71.5423276196057
"163","P81.B5.1",81,6.3,"Car_bet","New Trees",4.1,0.706,0.00021491,2.258957614,0.001411006,8.05266989383325,2.41580096814998,10.4684708619832
"164","P81.B31.0",81,7.9,"Ulm_spe","New Trees",8.3,0.508,1.94295,1.29229,-4.20064,3.05778385154443,0.917335155463328,3.97511900700776
"165","P81.B34.1",81,5.1,"Ulm_spe","New Trees",5.2,0.508,1.94295,1.29229,-4.20064,0.714009898172161,0.214202969451648,0.92821286762381
"166","P81.B37.0",81,28.9,"Ulm_spe","New Trees",17.4,0.508,1.94295,1.29229,-4.20064,98.9116961824211,29.6735088547263,128.585205037147
"167","P81.B147.1",81,6.7,"Til_spe","New Trees",5.3,0.422,1.94295,1.29229,-4.20064,1.03298029694242,0.309894089082725,1.34287438602514
"168","P81.B164.0",81,5.2,"Til_spe","New Trees",3.5,0.422,1.94295,1.29229,-4.20064,0.369273315730669,0.110781994719201,0.480055310449869
"169","P81.B165.0",81,7,"Til_spe","New Trees",9.9,0.422,1.94295,1.29229,-4.20064,2.52190184225365,0.756570552676094,3.27847239492974
"170","P81.B166.0",81,6.4,"Car_bet","New Trees",9.7,0.706,0.00021491,2.258957614,0.001411006,56.3331620812195,16.8999486243658,73.2331107055853
"171","P81.B167.0",81,6.5,"Car_bet","New Trees",9.4,0.706,0.00021491,2.258957614,0.001411006,52.4740552950816,15.7422165885245,68.2162718836061
"172","P81.B168.0",81,5.2,"Ace_pse","New Trees",7.4,0.51,1.89756,0.97716,-2.94253,2.04070986635984,0.612212959907951,2.65292282626779
"173","P81.B169.0",81,5.9,"Ulm_spe","New Trees",6.9,0.508,1.94295,1.29229,-4.20064,1.3658720095758,0.409761602872739,1.77563361244854
"174","P81.B169.1",81,5.8,"Til_spe","New Trees",5.1,0.422,1.94295,1.29229,-4.20064,0.742649374153413,0.222794812246024,0.965444186399437
"175","P81.B171.0",81,8,"Ulm_spe","New Trees",10,0.508,1.94295,1.29229,-4.20064,3.98653414288429,1.19596024286529,5.18249438574958
