dbh,n,cl,sp,time,ca_ind,ca_cohort,cumca
126.21875000000001,0.2168231183378743,1,5,45,235.21598044173828,51.00026236227814,51.00026236227814
125.21875000000001,0.2168231183378743,1,5,45,234.42890657027044,50.82960655110423,101.82986891338237
99.21875000000001,0.2168231183378743,1,5,45,195.6610368040603,42.42383613707794,144.25370505046033
91.72500000000002,0.12253804469001252,1,7,45,160.66188601796892,19.687193368851574,163.9408984193119
85.21875000000001,0.2168231183378743,1,5,45,156.77453305095162,33.99234313207147,197.9332415513834
84.72500000000001,0.12253804469001252,1,7,45,147.71027313897847,18.100128051078098,216.03336960246148
78.21875000000001,0.2168231183378743,1,5,45,133.99711804930595,29.053672983738775,245.08704258620025
81.4375,0.17058950108538862,1,2,45,133.99484117150695,22.85811310346326,267.9451556896635
65.91911764705881,1.504936022067463,1,3,45,125.47468871324415,188.83137890226286,456.7765345919264
74.725,0.12253804469001252,1,7,45,125.03527926912714,15.321578638908498,472.0981132308349
64.91911764705881,0.7524680110337315,1,3,45,123.56886124310822,92.9816152453048,565.0797284761397
63.919117647058805,0.7524680110337315,1,3,45,121.63899874064232,91.5294554465057,656.6091839226455
72.725,0.12253804469001252,1,7,45,120.03333344642684,14.708649978149426,671.3178339007949
61.919117647058805,0.7524680110337315,1,3,45,117.71096810367216,88.5737380458252,759.89157194662
58.919117647058805,0.7524680110337315,1,3,45,111.66383574489686,84.02346438735984,843.9150363339799
68.725,0.12253804469001252,1,7,45,109.73232284205345,13.446384280358426,857.3614206143383
67.725,0.12253804469001252,1,7,45,107.1143196116098,13.125579283507726,870.486999897846
68.4375,0.17058950108538862,1,2,45,106.20385247836316,18.117262207630183,888.6042621054762
66.725,0.12253804469001252,1,7,45,104.4861769197346,12.803531816878994,901.4077939223552
54.919117647058805,0.7524680110337315,1,3,45,103.36068800413162,77.77561132154699,979.1834052439021
65.725,0.36761413407003757,1,7,45,101.85149204978076,37.44204805362147,1016.6254532975236
53.919117647058805,0.7524680110337315,1,3,45,101.25055103612274,76.1878007542206,1092.8132540517443
52.919117647058805,0.7524680110337315,1,3,45,99.12941778698837,74.59171583710695,1167.4049698888512
63.724999999999994,0.24507608938002504,1,7,45,96.57704523401466,23.668724569830097,1191.0736944586813
66.21875000000001,0.2168231183378743,1,5,45,95.22340250951385,20.646635070855357,1211.7203295295367
50.919117647058805,1.504936022067463,1,3,45,94.85990302074597,142.75808510574677,1354.4784146352836
62.724999999999994,0.12253804469001252,1,7,45,93.94457803753089,11.511784901947328,1365.9901995372309
49.919117647058805,2.2574040331011935,1,3,45,92.71445422559168,209.29398289562664,1575.2841824328575
65.21875000000001,0.2168231183378743,1,5,45,92.21222838429651,19.993742907167412,1595.277925340025
61.724999999999994,0.24507608938002504,1,7,45,91.32011786347391,22.380377367703154,1617.6583027077281
48.919117647058805,0.7524680110337315,1,3,45,90.56386667273821,68.14641262675937,1685.8047153344876
46.919117647058805,0.7524680110337315,1,3,45,86.2533285981535,64.90287061529143,1750.707585949779
45.919117647058805,0.7524680110337315,1,3,45,84.09642606721238,63.27987045784055,1813.9874564076197
62.218750000000014,0.8672924733514972,1,5,45,83.50460517242095,72.42291555622919,1886.4103719638488
44.91911764705881,1.504936022067463,1,3,45,81.94047215400987,123.31516820978533,2009.725540173634
43.91911764705881,3.009872044134926,1,3,45,79.78699279203693,240.1486390903468,2249.8741792639807
60.218750000000014,0.6504693550136229,1,5,45,77.99820356576915,50.73544116564712,2300.6096204296277
42.91911764705881,1.504936022067463,1,3,45,77.63750691258856,116.83948081626619,2417.449101245894
41.91911764705882,0.7524680110337315,1,3,45,75.4935221721029,56.80646047477318,2474.255561720667
40.91911764705882,0.7524680110337315,1,3,45,73.35653074700201,55.19844278753138,2529.4540045081985
58.218750000000014,0.2168231183378743,1,5,45,72.75070967289135,15.774035732569656,2545.228040240768
57.218750000000014,0.2168231183378743,1,5,45,70.22797860630502,15.227049315984576,2560.4550895567527
53.199999999999996,7.349669056400546,1,7,45,69.75804485749724,512.6985437241487,3073.1536332809014
52.37499999999998,0.302788697265213,1,6,45,67.78963115005186,20.52593410401351,3093.679567384915
56.218750000000014,0.2168231183378743,1,5,45,67.77413224770113,14.694998696590044,3108.3745660815052
50.4375,0.17058950108538862,1,2,45,67.01720231609833,11.432431107241765,3119.806997188747
55.218750000000014,0.4336462366757486,1,5,45,65.3899942432835,28.356124919848753,3148.163122108596
54.218750000000014,0.2168231183378743,1,5,45,63.076134626949745,13.676364202514815,3161.8394863111107
35.919117647058826,0.7524680110337315,1,3,45,62.82710825442443,47.275389187207686,3209.1148754983183
53.218750000000014,0.2168231183378743,1,5,45,60.83288135960878,13.189975033868322,3222.3048505321867
34.91911764705883,0.7524680110337315,1,3,45,60.762043797486925,45.721494242639466,3268.026344774826
33.91911764705883,1.504936022067463,1,3,45,58.71365632331527,88.36029638824623,3356.3866411630725
52.218750000000014,0.2168231183378743,1,5,45,58.66033296533374,12.718916316281666,3369.105557479354
32.91911764705883,0.7524680110337315,1,3,45,56.68317851758685,42.652278598198514,3411.7578360775524
51.218750000000014,0.4336462366757486,1,5,45,56.55837203930563,24.52632518735177,3436.284161264904
47.175,9.280492244847657,1,7,45,56.051737040820605,520.1877109175758,3956.4718721824797
31.919117647058837,0.7524680110337315,1,3,45,54.67179645349718,41.138777937004036,3997.6106501194836
49.218750000000014,0.2168231183378743,1,5,45,52.56474875762988,11.397252740276214,4009.0079028597597
48.218750000000014,0.4336462366757486,1,5,45,50.67190147659813,21.973679380531088,4030.9815822402907
43.37499999999999,0.302788697265213,1,6,45,48.296006963491706,14.62348503158731,4045.605067271878
46.218750000000014,0.6504693550136229,1,5,45,47.089970884926466,30.6305829891284,4076.2356502610064
45.218750000000014,0.6504693550136229,1,5,45,45.39880306170459,29.530530145937472,4105.766180406944
41.15,11.718559794426707,1,7,45,44.10351381455859,516.8296637802291,4622.5958441871735
44.218750000000014,0.2168231183378743,1,5,45,43.77257857925981,9.49090698524475,4632.086751172418
40.375,0.302788697265213,1,6,45,42.705018130262275,12.930596806349417,4645.017347978767
36.62499999999999,0.23795832978295878,1,1,45,42.557845353335175,10.126993799441092,4655.144341778208
35.625,0.23795832978295878,1,1,45,41.06348143238942,9.771397456724927,4664.915739234933
39.375,0.605577394530426,1,6,45,40.94790992325447,24.79712860279102,4689.712867837725
23.919117647058837,0.7524680110337315,1,3,45,39.39347994621514,29.642333502825693,4719.355201340551
41.218750000000014,0.2168231183378743,1,5,45,39.269955301851525,8.514634165536387,4727.869835506087
37.375,0.302788697265213,1,6,45,37.593748895984334,11.382962253530636,4739.252797759617
32.62499999999999,0.23795832978295878,1,1,45,36.81260546007372,8.759866110238171,4748.012663869856
39.218750000000014,0.2168231183378743,1,5,45,36.56668151981628,7.928501914394486,4755.94116578425
36.37500000000001,0.302788697265213,1,6,45,35.99626999927691,10.899263699487927,4766.840429483738
30.624999999999996,0.23795832978295878,1,1,45,34.170510747031685,8.131157665194303,4774.9715871489325
35.125,14.797129293631379,1,7,45,34.07328988388608,504.18687587124447,5279.158463020177
29.624999999999996,0.23795832978295878,1,1,45,32.906164349178404,7.830295908094036,5286.988758928271
28.624999999999996,0.23795832978295878,1,1,45,31.679108375904896,7.538307718143669,5294.527066646415
33.37500000000001,0.302788697265213,1,6,45,31.517074967426037,9.543014070996986,5304.070080717412
18.705882352941185,15.532508089413621,1,3,45,30.35050922653383,471.4195300789595,5775.489610796371
32.37500000000001,0.302788697265213,1,6,45,30.12635475212118,9.121919708744432,5784.611530505116
16.992647058823536,16.031167040327812,1,3,45,27.55375736741599,441.71888694570885,6226.330417450825
