Tree_ID,DBH20,Height20,xxx,DBH24,Height24,Species
P82.B56.0,0,NA,1,8,NA,WLI
P82.B57.0,0,NA,1,12.6,NA,WLI
P82.B58.0,0,NA,1,12.6,NA,BAH
P82.B59.0,0,NA,1,8.9,NA,WLI
P82.B60.0,0,NA,1,7.6,NA,BAH
P82.B61.0,0,NA,1,11,NA,WLI
P82.B62.0,0,NA,1,10,NA,WLI
P82.B63.0,0,NA,1,6.4,NA,WLI
P82.B64.0,0,NA,1,6.2,NA,BAH
P82.B65.0,0,NA,1,13.8,NA,WLI
P82.B66.0,0,NA,1,7.7,NA,WLI
P82.B67.0,0,NA,1,5.4,NA,WLI
P82.B68.0,0,NA,1,34.1,NA,HBU
P82.B69.0,0,NA,1,34.3,NA,HBU
P82.B70.0,0,NA,1,47.6,NA,HBU
P82.B71.0,0,NA,1,8.4,NA,SAH
P82.B72.0,0,NA,1,5.2,NA,BAH
P82.B73.0,0,NA,1,0,NA,GES
P82.B74.0,0,NA,1,37.5,NA,GES
P82.B75.0,0,NA,1,42.7,NA,HBU
P82.B76.0,0,NA,1,19.9,NA,HBU
P82.B77.0,0,NA,1,33,NA,HBU
P82.B78.0,0,NA,1,31,NA,HBU
P82.B79.0,0,NA,1,20.1,NA,HBU
P82.B80.0,0,NA,1,11.9,NA,SAH
P82.B81.0,0,NA,1,0,NA,GES
P82.B82.0,0,NA,1,27.7,NA,HBU
P82.B83.0,0,NA,1,15.9,NA,HBU
P82.B84.0,0,NA,1,17.4,NA,HBU
P82.B85.0,0,NA,1,26.8,NA,HBU
P82.B86.0,0,NA,1,9.7,NA,SAH
P82.B87.0,0,NA,1,41.8,NA,SEI
P82.B88.0,0,NA,1,7,NA,SAH
P82.B89.0,0,NA,1,8.6,NA,SAH
P82.B90.0,0,NA,1,9.3,NA,SAH
P82.B91.0,0,NA,1,0,NA,SEI
P82.B92.0,0,NA,1,10.2,NA,SAH
P82.B93.0,0,NA,1,38.3,NA,SEI
P82.B94.0,0,NA,1,32.9,NA,SEI
P82.B95.0,0,NA,1,11,NA,BAH
P82.B96.0,0,NA,1,36.9,NA,SEI
P82.B97.0,0,NA,1,63.7,NA,SEI
P82.B98.0,0,NA,1,22.8,NA,HBU
P82.B99.0,0,NA,1,15.4,NA,SAH
P82.B100.0,0,NA,1,15.1,NA,UL
P82.B101.0,0,NA,1,15.9,NA,SAH
P82.B102.0,0,NA,1,37.3,NA,SEI
P82.B103.0,0,NA,1,33.9,NA,HBU
P82.B104.0,0,NA,1,68,NA,GES
P82.B105.0,0,NA,1,21.8,NA,HBU
P82.B106.0,0,NA,1,10.5,NA,WLI
P82.B107.0,0,NA,1,33.9,NA,HBU
P82.B108.0,0,NA,1,8.3,NA,BAH
P82.B109.0,0,NA,1,6.2,NA,BAH
P82.B110.0,0,NA,1,13.8,NA,BAH
P82.B111.0,0,NA,1,24.8,NA,UL
P82.B112.0,0,NA,1,18.6,NA,HBU
P82.B113.0,0,NA,1,38.8,NA,HBU
P82.B114.0,0,NA,1,49.9,NA,HBU
P82.B115.0,0,NA,1,9.7,NA,UL
P82.B116.0,0,NA,1,16.2,NA,UL
P82.B117.0,0,NA,1,34.1,NA,HBU
P82.B118.0,0,NA,1,32.1,NA,SAH
P82.B119.0,0,NA,1,10.4,NA,BAH
P82.B120.0,0,NA,1,10.5,NA,UL
P82.B121.0,0,NA,1,9.6,NA,UL
P82.B122.0,0,NA,1,12.7,NA,UL
P82.B123.0,0,NA,1,28.4,NA,HBU
P82.B124.0,0,NA,1,5.5,8.4,HBU
P82.B125.0,0,NA,1,6.6,7.9,WLI
P82.B126.0,0,NA,1,5.1,7.3,SAH
P82.B127.0,0,NA,1,6.6,10.6,BAH
P82.B128.0,0,NA,1,5.4,4.7,WLI
P82.B128.1,0,NA,1,5.5,5.6,WLI
P82.B129.0,0,NA,1,6.4,6.5,WLI
P82.B130.0,0,NA,1,5.5,5.5,WLI
P82.B131.0,0,NA,1,5.3,6.2,UL
P82.B132.0,0,NA,1,5.1,8.3,HBU
